,Adj_Close,Close,High,Low,Open,Volume
2005-04-26,31.0454,54.5429,54.7619,54.4334,54.5429,3027000
2005-04-27,31.1077,54.6525,54.6525,54.2143,54.5977,3761800
2005-04-28,31.2947,54.981,54.981,54.2143,54.6525,3073600
2005-04-29,31.17,54.7619,54.7619,54.4334,54.7619,1439900
2005-05-03,31.6064,55.5286,55.8571,54.7619,54.7619,4564800
2005-05-04,31.7934,55.8571,56.0762,55.5286,55.5286,2851700
2005-05-05,32.7286,57.5001,57.7191,56.0762,56.4047,4781900
2005-05-06,32.4168,56.9523,57.281000000000006,56.6238,56.9523,1684300
2005-05-09,32.2298,56.6238,56.9523,56.4047,56.9523,1744200
2005-05-10,32.3545,56.8429,57.281000000000006,56.4047,56.9523,2282400
2005-05-11,32.3545,56.8429,57.1714,56.5143,56.7334,4895300
2005-05-12,32.1674,56.5143,56.9523,56.2953,56.8429,8881600
2005-05-13,32.1051,56.4047,56.6238,55.9667,56.4047,5366000
2005-05-16,31.7934,55.8571,56.6238,55.8571,56.4047,1576900
2005-05-17,31.6688,55.6381,56.5143,54.8714,56.2953,3398300
2005-05-18,31.17,54.7619,55.6381,54.7619,55.6381,2841200
2005-05-19,31.7934,55.8571,56.1858,55.6381,55.8571,5424700
2005-05-20,32.2922,56.7334,58.1571,56.7334,56.9523,13596600
2005-05-23,31.8557,55.9667,56.6238,55.7476,56.6238,3807300
2005-05-24,32.1051,56.4047,56.7334,55.9667,56.4047,2464900
2005-05-25,31.4817,55.3095,56.2953,55.3095,56.1858,3623500
2005-05-26,31.4817,55.3095,55.419,54.981,55.3095,3822200
2005-05-27,31.7934,55.8571,56.4047,55.419,55.419,6670500
2005-05-30,31.730999999999998,55.7476,56.1858,55.419,56.0762,4493800
2005-05-31,31.730999999999998,55.7476,55.9667,55.419,55.419,7504000
2005-06-01,31.6064,55.5286,55.9667,55.5286,55.8571,4229800
2005-06-02,31.7934,55.8571,56.0762,55.5286,55.5286,6329700
2005-06-03,31.4817,55.3095,55.8571,55.0905,55.8571,7533100
